,date,new_cases_smoothed,new_deaths_smoothed,new_vaccinations_smoothed,aged_65_older,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers
0,2021-02-23,18.286,1.0,1367.0,2.5810000000000004,597.029,9.59,14.1,33.1
1,2021-02-24,17.714000000000006,1.143,1367.0,2.5810000000000004,597.029,9.59,14.1,33.1
2,2021-02-25,17.570999999999998,1.143,1367.0,2.5810000000000004,597.029,9.59,14.1,33.1
3,2021-02-26,17.285999999999998,1.714,1367.0,2.5810000000000004,597.029,9.59,14.1,33.1
4,2021-02-27,18.143,1.857,1367.0,2.5810000000000004,597.029,9.59,14.1,33.1
5,2021-02-28,15.714,1.571,1367.0,2.5810000000000004,597.029,9.59,14.1,33.1
6,2021-03-01,16.570999999999998,1.571,1580.0,2.5810000000000004,597.029,9.59,14.1,33.1
7,2021-03-02,16.143,1.571,1794.0,2.5810000000000004,597.029,9.59,14.1,33.1
8,2021-03-03,15.143,1.429,2008.0,2.5810000000000004,597.029,9.59,14.1,33.1
9,2021-03-04,13.571,1.143,2221.0,2.5810000000000004,597.029,9.59,14.1,33.1
10,2021-03-05,18.714,1.0,2435.0,2.5810000000000004,597.029,9.59,14.1,33.1
11,2021-03-06,19.0,0.857,2649.0,2.5810000000000004,597.029,9.59,14.1,33.1
12,2021-03-07,19.0,0.857,2862.0,2.5810000000000004,597.029,9.59,14.1,33.1
13,2021-03-08,20.429,1.0,2862.0,2.5810000000000004,597.029,9.59,14.1,33.1
14,2021-03-09,16.714000000000002,0.7140000000000001,2862.0,2.5810000000000004,597.029,9.59,14.1,33.1
15,2021-03-10,17.714000000000006,0.7140000000000001,2862.0,2.5810000000000004,597.029,9.59,14.1,33.1
16,2021-03-11,20.286,0.7140000000000001,2862.0,2.5810000000000004,597.029,9.59,14.1,33.1
17,2021-03-12,18.857,0.7140000000000001,2862.0,2.5810000000000004,597.029,9.59,14.1,33.1
18,2021-03-13,17.0,0.7140000000000001,2862.0,2.5810000000000004,597.029,9.59,14.1,33.1
19,2021-03-14,19.714,1.143,2862.0,2.5810000000000004,597.029,9.59,14.1,33.1
20,2021-03-15,15.571,1.143,2862.0,2.5810000000000004,597.029,9.59,14.1,33.1
21,2021-03-16,17.0,1.286,2862.0,2.5810000000000004,597.029,9.59,14.1,33.1
22,2021-01-10,31858.857000000004,780.7139999999998,500.0,11.373,197.093,7.29,14.1,33.1
23,2021-01-11,32750.429,780.143,500.0,11.373,197.093,7.29,14.1,33.1
24,2021-01-12,32647.714,816.7139999999998,500.0,11.373,197.093,7.29,14.1,33.1
25,2021-01-13,32391.286,832.429,500.0,11.373,197.093,7.29,14.1,33.1
26,2021-01-14,32223.571,884.429,600.0,11.373,197.093,7.29,14.1,33.1
27,2021-01-15,31523.857000000004,883.7139999999998,667.0,11.373,197.093,7.29,14.1,33.1
28,2021-01-16,30448.0,884.571,1000.0,11.373,197.093,7.29,14.1,33.1
29,2021-01-17,29728.286,885.143,1118.0,11.373,197.093,7.29,14.1,33.1
